flight_id,barrier,group,icao_type,registration,callsign,start_airport,start_elev,end_airport,end_elev,date,crest_clearance_ft,crest_lat,crest_lon,crest_terr_ft,terr_max_ft,alt20_msl_ft,max_msl_over_ft,counterfactual_ft,class,climb_start_km_before,chord_km,in_km,n_sub,sl_terr_max_ft,act_terr_dem_ft,ap_start_km,ap_end_km,d_pre_km,day_traffic
407fd9:2026-04-14T15:03:38Z,PENN,trap,DA42,G-OTST,GOTST,EGXC,25.0,EGNO,55.0,2026-04-14,1794.6,53.6432,-2.0423,1505.7,1505.7,3322.5,3335.9,1816.7,pre-planned high,,29.1,29.3,1,1548.4,1548.4,105.3,47.7,118.7,46
407fd9:2026-04-14T10:29:35Z,PENN,trap,DA42,G-OTST,GOTST,EGXC,25.0,EGXC,25.0,2026-04-14,1803.1,53.6434,-2.0424,1502.1,1502.1,3326.7,3316.7,1824.6,pre-planned high,,30.5,30.6,1,1548.4,1548.4,105.2,105.5,119.1,46
407fd9:2026-04-14T10:29:35Z,PENN,trap,DA42,G-OTST,GOTST,EGXC,25.0,EGXC,25.0,2026-04-14,1731.7,53.642,-2.0417,1569.1,1569.1,3295.9,3309.3,1726.8,pre-planned high,,30.4,30.5,1,1548.4,1548.4,105.2,105.5,407.8,46
407fd9:2026-04-14T07:30:36Z,PENN,trap,DA42,G-OTST,GOTST,EGNO,55.0,EGXC,25.0,2026-04-14,1752.2,53.644,-2.0418,1558.2,1558.2,3323.8,3333.7,1765.6,pre-planned high,,29.9,30.0,1,1548.4,1548.4,49.0,105.5,50.3,46
407fd9:2026-04-13T16:05:25Z,PENN,trap,DA42,G-OTST,GOTST,EGNE,91.0,EGNO,55.0,2026-04-13,1917.1,53.6813,-2.1285,1378.7,1378.7,3346.6,3346.3,1967.9,pre-planned high,,30.8,31.3,1,1548.4,1478.2,50.1,47.7,63.1,68
402ab6:2026-04-13T15:37:58Z,PENN,trap,C172,G-BOIL,GBOIL,EGNF,250.0,EGCB,73.0,2026-04-13,710.2,53.5338,-1.8809,1877.0,1877.0,2156.1,2675.2,279.1,proactive climb,20.2,31.2,32.0,1,1877.5,1877.5,31.4,15.8,38.4,68
407fd9:2026-04-13T14:08:06Z,PENN,trap,DA42,G-OTST,GOTST,EGNO,55.0,EGNE,91.0,2026-04-13,1929.2,53.6854,-2.1475,1376.3,1376.3,3316.9,3311.1,1940.6,pre-planned high,,30.9,31.7,1,1548.4,1458.6,48.9,50.1,49.7,68
405f6f:2026-04-13T11:29:06Z,PENN,trap,CRUZ,G-SCPI,GSCPI,EGCJ,26.0,EGCB,73.0,2026-04-13,920.3,53.6406,-2.0419,1527.6,1527.6,1975.0,2615.0,447.4,reactive climb,3.8,27.4,27.6,2,1548.4,1548.4,32.1,16.4,34.9,68
401da9:2026-04-13T11:06:35Z,PENN,trap,P28A,G-BGKS,GBGKS,EGCF,11.0,EGCB,73.0,2026-04-13,716.3,53.6023,-2.0539,1167.7,1465.1,2338.3,2821.8,873.3,no climb,,28.3,29.5,1,1548.4,1689.4,55.1,16.6,57.0,68
408009:2026-04-13T10:31:42Z,PENN,trap,DA40,G-DPAE,GDPAE,EGNH,34.0,EGNE,91.0,2026-04-13,1629.6,53.7153,-2.0276,1268.4,1461.4,2956.4,3112.3,1495.0,pre-planned high,,33.4,33.6,1,1537.0,1537.0,57.8,50.3,63.3,68
402ab6:2026-04-13T10:15:05Z,PENN,trap,C172,G-BOIL,GBOIL,EGCB,73.0,EGCF,11.0,2026-04-13,1067.9,53.6865,-2.0437,1371.3,1371.3,1435.1,2587.5,63.9,reactive climb,8.9,29.0,33.5,1,1548.4,1478.2,15.6,56.0,24.9,68
402aca:2026-04-13T10:08:48Z,PENN,trap,P28A,G-OGEM,GOGEM,EGCB,73.0,EGCJ,26.0,2026-04-13,1059.8,53.6499,-2.0398,1481.0,1481.0,1194.8,2586.3,-286.2,proactive climb,17.8,27.8,32.4,1,1548.4,1478.2,15.4,32.5,26.5,68
401da9:2026-04-13T08:53:14Z,PENN,trap,P28A,G-BGKS,GBGKS,EGCB,73.0,EGCF,11.0,2026-04-13,1156.1,53.5696,-1.8807,1561.9,1561.9,1466.7,2753.3,-95.2,reactive climb,2.5,28.4,28.7,1,1809.5,1877.5,15.5,57.0,24.8,68
408009:2026-04-18T14:09:41Z,PENN,trap,DA40,G-DPAE,GDPAE,EGCJ,26.0,EGNH,34.0,2026-04-18,1662.6,53.7548,-2.1292,1547.4,1547.4,2955.1,3229.7,1407.7,pre-planned high,,28.3,28.3,1,1537.0,1537.0,31.8,56.8,32.5,34
408009:2026-04-18T08:50:23Z,PENN,trap,DA40,G-DPAE,GDPAE,EGNH,34.0,EGCJ,26.0,2026-04-18,5642.3,53.7758,-1.7254,667.4,1506.0,7231.1,7209.9,5725.1,pre-planned high,,26.6,26.6,1,1537.0,1537.0,58.5,31.8,64.4,34
408009:2026-04-17T14:13:51Z,PENN,trap,DA40,G-DPAE,GDPAE,EGNE,91.0,EGNH,34.0,2026-04-17,1535.3,53.7479,-2.1219,1469.2,1469.2,3014.5,3025.3,1545.3,pre-planned high,,35.3,35.4,1,1537.0,1537.0,50.1,56.0,63.1,59
43eb3e:2026-04-16T13:47:03Z,PENN,trap,S22T,2-CYFR,2CYFR,EGCJ,26.0,EGGP,80.0,2026-04-16,1468.4,53.6352,-2.0252,1335.4,1335.4,2070.8,2805.5,735.4,reactive climb,5.6,28.5,28.5,1,1548.4,1548.4,31.7,46.1,34.0,46
401dd0:2026-04-19T14:45:07Z,PENN,trap,P28A,G-BGPJ,GBGPJ,EGNW,63.0,EGOW,37.0,2026-04-19,1669.1,53.6039,-1.8907,1080.0,1468.2,2851.3,3250.2,1383.1,pre-planned high,,25.5,25.6,1,1548.4,1548.4,88.7,60.1,95.0,86
aa3b8b:2026-04-19T14:00:41Z,PENN,trap,C182,N759AU,N759AU,EGCJ,26.0,EGCB,73.0,2026-04-19,767.9,53.6302,-2.0282,1331.9,1331.9,2192.6,2456.5,860.6,no climb,,31.1,31.3,1,1548.4,1548.4,31.8,15.5,35.6,86
4073dd:2026-04-19T13:32:21Z,PENN,trap,RV6,G-RKID,GRKID,EGSJ,130.0,EGCB,73.0,2026-04-19,710.4,53.5355,-1.8794,1903.5,1911.4,3913.8,2764.2,2002.4,pre-planned high,,31.6,33.1,1,2018.8,1988.0,227.9,15.5,240.9,86
aa3b8b:2026-04-19T11:50:11Z,PENN,trap,C182,N759AU,N759AU,EGCB,73.0,EGCJ,26.0,2026-04-19,817.5,53.6354,-2.0419,1402.0,1402.0,1428.8,2306.8,26.8,no climb,,27.4,27.5,1,1548.4,1548.4,16.3,31.4,30.8,86
401dd0:2026-04-19T10:34:52Z,PENN,trap,P28A,G-BGPJ,GBGPJ,EGOW,37.0,EGNW,63.0,2026-04-19,1392.5,53.6492,-2.0388,1456.1,1456.1,2609.6,3061.5,1153.4,pre-planned high,,29.1,29.1,1,1548.4,1548.4,58.0,90.1,64.1,86
4073dd:2026-04-19T10:29:11Z,PENN,trap,RV6,G-RKID,GRKID,EGCB,73.0,EGSJ,130.0,2026-04-19,988.0,53.5494,-1.9013,1684.7,1684.7,1518.2,2762.2,-166.4,no climb,,30.3,31.7,1,1877.5,1877.5,16.2,229.5,25.6,86
407313:2026-04-19T09:54:21Z,PENN,trap,RV7,G-ICRV,GICRV,EGNE,91.0,EGCB,73.0,2026-04-19,973.4,53.5789,-1.8828,1514.5,1514.5,2482.5,2488.5,968.1,no climb,,30.3,31.0,1,1877.5,1877.5,50.0,15.6,57.7,86
407b00:2026-04-19T09:16:30Z,PENN,trap,DA40,G-DPAZ,GDPAZ,EGNH,34.0,EGNH,34.0,2026-04-19,910.4,53.6932,-2.1456,1470.3,1470.3,2556.8,2623.0,1086.5,pre-planned high,,28.3,47.6,1,1603.5,1537.0,58.6,56.7,85.0,86
407f71:2026-05-08T14:30:29Z,PENN,trap,DA62,G-ZEAA,BRO69,EGNJ,121.0,EGNJ,121.0,2026-05-08,1200.4,53.4452,-1.7172,1791.9,1791.9,2963.5,2992.8,1171.6,pre-planned high,,62.0,62.1,1,1742.1,1742.1,88.7,89.8,171.2,61
4016cb:2026-05-10T16:17:20Z,PENN,trap,C150,G-AVER,GAVER,EGCJ,26.0,EGCB,73.0,2026-05-10,889.4,53.6088,-2.0246,1314.2,1390.1,2395.8,2690.3,1005.7,pre-planned high,,28.3,28.5,3,1548.4,1548.4,32.1,16.3,39.9,53
406833:2026-05-10T14:30:25Z,PENN,trap,DR40,G-CHOE,GCHOE,EGNE,91.0,EGNH,34.0,2026-05-10,1420.7,53.744,-2.1179,1456.8,1456.8,2840.6,2880.2,1383.8,pre-planned high,,34.2,34.5,1,1537.0,1537.0,50.2,57.7,60.5,53
