flight_id,barrier,group,icao_type,registration,callsign,start_airport,start_elev,end_airport,end_elev,date,crest_clearance_ft,crest_lat,crest_lon,crest_terr_ft,terr_max_ft,alt20_msl_ft,max_msl_over_ft,counterfactual_ft,class,climb_start_km_before,chord_km,in_km,n_sub,sl_terr_max_ft,act_terr_dem_ft,ap_start_km,ap_end_km,d_pre_km,day_traffic
407ffb:2026-06-19T12:44:28Z,PENN,trap,P28A,G-GOST,WKT19,EGNE,91.0,EGNE,91.0,2026-06-19,1739.8,53.7058,-2.0464,1277.5,1277.5,2989.9,3019.5,1712.4,pre-planned high,,34.4,34.4,1,1537.0,1537.0,50.1,50.1,345.7,78
4077fa:2026-06-19T11:35:27Z,PENN,trap,TL30,G-CLFG,GCLFG,EGBM,439.0,EGCB,73.0,2026-06-19,664.0,53.3848,-1.8711,2048.6,2048.6,2502.0,2763.8,453.4,no climb,,34.7,39.2,1,2052.2,2067.5,54.1,15.6,57.5,78
4070f4:2026-06-18T09:51:00Z,PENN,trap,DA62,G-GBAS,VOR05,EGPD,215.0,EGKA,7.0,2026-06-18,1124.3,53.4809,-1.7593,1650.7,1650.7,3192.6,3475.0,1542.0,pre-planned high,,67.9,67.9,2,1876.1,1876.1,360.1,292.6,309.4,58
405fb0:2026-06-21T13:56:34Z,PENN,trap,RV8,G-GORV,GGORV,EGCS,58.0,EGOW,37.0,2026-06-21,1181.7,53.6229,-1.9957,1553.6,1553.6,2617.9,2760.6,1064.3,pre-planned high,,28.6,29.0,1,1548.4,1548.4,68.4,60.2,74.3,61
408218:2026-07-08T14:18:15Z,PENN,control,SIRA,G-VNEB,GVNEB,EGCW,233.0,EGNM,681.0,2026-07-08,1254.2,53.3865,-1.8199,1920.3,1920.3,3988.2,3371.8,2067.9,pre-planned high,,30.8,31.0,1,2067.5,2067.5,101.7,3.2,118.4,74
408218:2026-07-08T12:15:37Z,PENN,control,SIRA,G-VNEB,GVNEB,EGNM,681.0,EGCW,233.0,2026-07-08,1486.3,53.4686,-1.7433,1686.8,1721.2,1787.2,3973.4,66.0,proactive climb,19.2,29.2,29.2,1,2011.5,1946.0,2.1,98.8,38.3,74
405051:2026-07-08T11:31:59Z,PENN,trap,P28A,G-HAMR,GHAMR,EGNH,34.0,EGCJ,26.0,2026-07-08,1204.2,53.7083,-2.0423,1262.6,1262.6,2576.2,2565.2,1313.6,pre-planned high,,29.4,29.7,1,1463.9,1463.9,58.1,31.8,66.8,74
400f21:2026-07-08T07:29:12Z,PENN,control,P32R,G-HDEW,GHDEW,EGNM,681.0,EGTE,102.0,2026-07-08,1662.5,53.4674,-1.7263,1719.7,1719.7,2327.6,3399.5,607.9,proactive climb,21.9,31.8,32.1,1,2011.5,1946.0,2.4,299.7,35.8,74
402ab6:2026-07-11T15:30:10Z,PENN,trap,C172,G-BOIL,GBOIL,EGCJ,26.0,EGCB,73.0,2026-07-11,667.2,53.6279,-2.0308,1254.8,1254.8,1900.3,1942.7,645.5,no climb,,27.9,28.0,2,1548.4,1548.4,31.4,16.3,37.9,32
402924:2026-07-11T14:48:49Z,PENN,trap,P28A,G-BNOP,GBNOP,EGNH,34.0,EGNH,34.0,2026-07-11,629.9,53.376,-1.7009,1041.6,1698.8,2059.5,2559.0,360.7,no climb,,46.8,51.1,1,2024.7,1876.1,57.9,59.2,64.6,32
402924:2026-07-11T14:48:49Z,PENN,trap,P28A,G-BNOP,GBNOP,EGNH,34.0,EGNH,34.0,2026-07-11,271.6,53.4009,-1.8886,2021.4,2021.4,2434.1,2427.5,412.7,no climb,,39.4,47.8,1,2024.7,2067.5,57.9,59.2,118.2,32
402ab6:2026-07-11T13:59:00Z,PENN,trap,C172,G-BOIL,GBOIL,EGCB,73.0,EGCJ,26.0,2026-07-11,645.6,53.6301,-2.0277,1336.2,1336.2,1457.5,1994.4,121.3,reactive climb,5.2,28.3,28.3,1,1548.4,1548.4,15.7,31.3,25.2,32
407891:2026-07-10T14:28:26Z,PENN,trap,C42,G-WKDB,GWKDB,EGCJ,26.0,EGCB,73.0,2026-07-10,369.6,53.6307,-2.0524,1366.9,1366.9,1940.5,2276.3,573.5,reactive climb,7.2,30.2,30.6,1,1548.4,1548.4,31.6,15.8,37.2,72
402e21:2026-07-10T13:44:17Z,PENN,trap,P28A,G-EGTB,GEGTB,EGNV,120.0,EGNR,45.0,2026-07-10,1068.6,53.814,-2.0665,1464.3,1464.3,2641.8,2634.2,1177.4,pre-planned high,,25.3,26.1,2,1603.5,1603.5,64.9,56.5,83.3,72
407891:2026-07-10T12:53:22Z,PENN,trap,C42,G-WKDB,GWKDB,EGCB,73.0,EGCJ,26.0,2026-07-10,806.1,53.6352,-2.0246,1342.4,1375.4,1489.5,2257.6,114.0,reactive climb,8.0,28.6,28.7,1,1548.4,1548.4,15.9,31.5,26.9,72
400ca9:2026-07-10T06:49:29Z,PENN,trap,F406,G-FIND,REV6ND,EGNX,306.0,EGNX,306.0,2026-07-10,1502.1,53.7588,-2.1297,1536.9,1536.9,4078.1,3240.0,2541.2,pre-planned high,,28.9,29.8,1,1537.0,1537.0,57.8,57.2,425.3,72
400ca9:2026-07-10T06:49:29Z,PENN,trap,F406,G-FIND,REV6ND,EGNX,306.0,EGNX,306.0,2026-07-10,1735.3,53.4704,-1.7106,1587.2,1587.2,3034.0,3323.0,1446.8,pre-planned high,,37.5,43.6,1,1877.5,1742.1,57.8,57.2,765.9,72
400e32:2026-07-12T11:18:02Z,PENN,trap,C172,G-BORW,GBORW,EGBW,159.0,EGCB,73.0,2026-07-12,1003.6,53.6046,-2.0192,1359.3,1420.5,2817.1,2771.0,1396.6,pre-planned high,,27.8,28.2,2,1877.5,1689.4,123.9,16.0,180.0,50
4063d4:2026-07-27T15:35:18Z,PENN,trap,RV7,G-WOWI,GWOWI,EGCB,73.0,EGCB,73.0,2026-07-27,1092.6,53.6136,-2.0133,1502.4,1502.4,2199.4,2947.2,697.1,reactive climb,-20.1,30.7,32.2,1,1877.5,1548.4,16.0,15.6,49.5,66
4063d4:2026-07-27T15:35:18Z,PENN,trap,RV7,G-WOWI,GWOWI,EGCB,73.0,EGCB,73.0,2026-07-27,1227.5,53.4755,-1.7071,1545.4,1545.4,3589.6,2772.9,2044.2,pre-planned high,,31.6,32.9,1,1988.0,1877.5,16.0,15.6,132.2,66
406534:2026-07-31T17:35:52Z,PENN,trap,EV97,G-CGVT,GCGVT,EGCB,73.0,EGCB,73.0,2026-07-31,302.4,53.4042,-1.898,1952.7,1952.7,1665.5,2331.2,-287.2,no climb,,31.0,42.4,1,1625.2,2067.5,15.8,15.5,85.0,60
a8b296:2026-07-30T12:54:11Z,PENN,trap,S22T,N66HG,N66HG,EGNV,120.0,EGBJ,101.0,2026-07-30,1107.1,53.4808,-1.758,1664.1,1664.1,2265.5,2773.3,601.4,reactive climb,3.0,32.1,33.0,1,1747.2,1747.2,65.0,156.4,106.1,68
402991:2026-07-30T10:31:01Z,PENN,trap,C172,G-GYAV,GGYAV,EGGP,80.0,EGCJ,26.0,2026-07-30,1371.9,53.8468,-2.0373,1365.4,1365.4,3364.0,2904.6,1998.6,pre-planned high,,28.7,28.7,1,1603.5,1603.5,48.6,32.0,95.7,68
